complaint_text,rating,date,source,product,company_size,user_id
The platform becomes unstable when multiple users are active. This has impacted our daily operations.,1,2023-02-14,capterra,Vision Helpdesk - Help Desk,Small Business,
The platform becomes unstable when multiple users are active. We expected much better reliability.,1,2023-10-09,g2,Vision Helpdesk - Service Desk,,
Crashes happen often when updating tickets. We expected much better reliability.,1,2023-08-18,g2,Vision Helpdesk - Live Chat,,
Crashes happen often when updating tickets. This has impacted our daily operations.,1,2023-05-19,play_store,Vision Helpdesk - Service Desk,Enterprise,
The system crashes frequently when handling tickets.,1,2023-04-28,play_store,Vision Helpdesk - Service Desk,Mid-Market,
Crashes happen often when updating tickets. It’s very frustrating to deal with.,1,2024-03-13,capterra,Vision Helpdesk - Help Desk,Small Business,
The platform becomes unstable when multiple users are active. It’s very frustrating to deal with.,1,2024-04-07,g2,Vision Helpdesk - Satellite Desk,Small Business,
App keeps freezing during normal usage. This has impacted our daily operations.,1,2023-07-07,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
Crashes happen often when updating tickets. We expected much better reliability.,1,2024-03-22,g2,Vision Helpdesk - Service Desk,Small Business,
The system crashes frequently when handling tickets. It’s very frustrating to deal with.,1,2024-05-23,g2,Vision Helpdesk - Live Chat,Mid-Market,
Crashes happen often when updating tickets.,1,2024-04-22,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
We experience random crashes that disrupt workflow. This has impacted our daily operations.,2,2024-06-10,g2,Vision Helpdesk - Satellite Desk,,
The platform becomes unstable when multiple users are active. We expected much better reliability.,2,2024-11-02,play_store,Vision Helpdesk - Live Chat,Small Business,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,2,2023-04-11,g2,Vision Helpdesk - Live Chat,Enterprise,
App keeps freezing during normal usage. We expected much better reliability.,2,2023-10-26,softwareadvice,Vision Helpdesk - Live Chat,Enterprise,
Crashes happen often when updating tickets.,2,2024-10-05,g2,Vision Helpdesk - Live Chat,Enterprise,
Crashes happen often when updating tickets.,1,2024-06-10,g2,Vision Helpdesk - Service Desk,Mid-Market,
Crashes happen often when updating tickets. This has impacted our daily operations.,1,2024-05-04,g2,Vision Helpdesk - Help Desk,,
The platform becomes unstable when multiple users are active.,2,2023-11-09,play_store,Vision Helpdesk - Help Desk,,
The platform becomes unstable when multiple users are active. It’s very frustrating to deal with.,2,2024-08-06,softwareadvice,Vision Helpdesk - Satellite Desk,Small Business,
App keeps freezing during normal usage.,2,2023-05-31,play_store,Vision Helpdesk - Help Desk,Enterprise,
App keeps freezing during normal usage. We expected much better reliability.,1,2024-01-10,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
The platform becomes unstable when multiple users are active. It’s very frustrating to deal with.,1,2023-04-20,g2,Vision Helpdesk - Service Desk,Small Business,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,2,2024-06-24,g2,Vision Helpdesk - Help Desk,Enterprise,
Crashes happen often when updating tickets. It’s very frustrating to deal with.,2,2023-09-24,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Crashes happen often when updating tickets. This has impacted our daily operations.,2,2023-05-07,softwareadvice,Vision Helpdesk - Satellite Desk,,
Crashes happen often when updating tickets. It’s very frustrating to deal with.,2,2024-09-13,g2,Vision Helpdesk - Live Chat,Mid-Market,
The platform becomes unstable when multiple users are active.,1,2024-11-22,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
We experience random crashes that disrupt workflow. It’s very frustrating to deal with.,2,2024-04-18,capterra,Vision Helpdesk - Satellite Desk,Enterprise,
